Sys,Band,Signal,Frequency[MHz],Bandwidth,Modulation,Rate(MHz),P_t (dBW),G_t (dBi),Alpha,Sigma
GPS,L1,P(Y),1575.42,10.0,BPSK(10),10.23,13.5,13.5,1,1
GPS,L1,C/A,1575.42,1.0,BPSK(1),1.023,16.5,13.5,1,1
GPS,L1,L1C-D,1575.42,2.0,"TMBOC(6,1,4/33)",1.023,10.0,10.0,1,1
GPS,L1,M-D,1575.42,15.0,"BOC(10,5)",5.115,18.2,13.5,1,1
GPS,L2,P(Y),1227.6,10.0,BPSK(10),10.23,10.0,10.0,1,1
GPS,L2,L2CM,1227.6,1.0,BPSK(1),0.5115,10.0,10.0,1,1
GPS,L2,M-D,1227.6,15.0,"BOC(10,5)",5.115,16.0,13.5,1,1
GPS,L5,L5I,1176.45,10.0,BPSK(10),10.23,18.0,18.0,1,1
GLO,L1,L1SF(P),1602.0,5.0,BPSK(5),5.11,10.0,10.0,1,1
GLO,L2,L2SF(P),1245.1,5.0,BPSK(5),5.11,10.0,10.0,1,1
GLO,L2,L2OF(C/A),1245.1,0.5,BPSK(0.5),0.511,10.0,10.0,1,1
GLO,L3,L3OC-D,1202.025,10.0,BPSK(10),10.23,10.0,10.0,1,1
GLO,L2,L2OC-D,1248.3,1.0,BPSK(1),1.023,13.0,12.0,1,1
GLO,L2,L2OC-P,1248.3,2.0,"BOC(1,1)",0.5115,5.0,5.0,1,1
GAL,E1,OS-D(B),1575.42,2.0,"CBOC(6,1,1/11)",1.023,10.0,10.0,1,1
GAL,E6,CS-P(C),1278.75,5.0,BPSK(5),5.115,16.0,15.0,1,1
GAL,E6,PRS(A),1278.75,15.0,"BOCcos(10,5)",5.115,18.0,16.0,1,1
GAL,E5ab,PRS(A),1191.795,25.0,"AltBOC(15,10)",10.23,10.0,10.0,1,1
GAL,E5a,E5a-D,1176.45,10.0,"AltBOC(15,10)",10.23,6.0,6.0,1,1
BDS-2,B1-2,RS,1561.098,2.0,BPSK(2),2.046,10.0,10.0,1,1
BDS-2,B3,RS,1268.52,10.0,BPSK(10),10.23,16.0,16.0,1,1
BDS-2,B2b,OS,1207.14,2.0,BPSK(2),2.046,14.0,12.0,1,1
BDS-2,B2b,RS,1207.14,10.0,BPSK(10),10.23,18.0,18.0,1,1
BDS-3,B1-2,OS,1561.098,2.0,BPSK(2),2.046,10.0,10.0,1,1
BDS-3,B1,B1C-Dl,1575.42,2.0,"TMBOC(6,1,4/33)",1.023,10.0,10.0,1,1
BDS-3,B3,B3C-Dm,1268.52,10.0,BPSK(10),10.23,15.0,13.5,1,1
BDS-3,B3,B3A-Dm,1268.52,10.0,"BOC(15,2.5)",2.5575,10.0,10.0,1,1
QZS-1,L1,C/A,1575.42,1.0,BPSK(1),1.023,10.0,10.0,1,1
QZS-1,L1,L1C-D,1575.42,2.0,"BOC(1,1)",1.023,10.0,10.0,1,1
QZS-1,L1,L1C-D,1575.42,2.0,"TMBOC(6,1,4/33)",1.023,10.0,10.0,1,1
QZS-1,L1,SAIF,1575.42,1.0,BPSK(1),1.023,10.0,10.0,1,1
QZS-1,L2,L2CL,1227.6,1.0,BPSK(1),0.5115,10.0,10.0,1,1
QZS-1,L6,L61(LEX)n,1278.75,5.0,BPSK(5),5.115,10.0,10.0,1,1
QZS-1,L6,L62o,1278.75,5.0,BPSK(5),5.115,10.0,10.0,1,1
QZS-1,L5,L5I,1176.45,10.0,BPSK(10),10.23,16.0,16.0,1,1
QZS-1,L5,L5Q,1176.45,10.0,BPSK(10),10.23,16.0,16.0,1,1
IRNSS,L5,SPS,1176.45,24.0,BPSK(1),1.023,16.0,14.0,1,1
IRNSS,L5,RS-D,1176.45,16.0,"BOC(5,2)",2.046,18.0,16.0,1,1
SBAS,L1,C/A,1575.42,1.0,BPSK(1),1.023,13.0,13.5,1,1
SBAS,L5,L5I,1176.45,10.0,BPSK(10),10.23,18.0,16.0,1,1
