index,Sys,Band,Signal,Frequency[MHz],Modulation,Rate(MHz),P_t (dBW),G_t (dBi),Alpha
18,GAL,E5a,E5a-D,1176.45,"AltBOC(15,10)",10.23,10.0,10.0,0.6
34,QZS-1,L6,L61(LEX)n,1278.75,BPSK(5),5.115,10.0,10.0,0.0
38,QZS-1,L5,L5I,1176.45,BPSK(10),10.23,16.0,16.0,0.0
30,QZS-1,L1,L1C-D,1575.42,"TMBOC(6,1,4/33)",1.023,10.0,10.0,0.0
41,IRNSS,L5,RS-D,1176.45,"BOC(5,2)",2.046,18.0,16.0,0.4
7,GPS,L5,L5I,1176.45,BPSK(10),10.23,18.0,18.0,1.0
36,QZS-1,L6,L62o,1278.75,BPSK(5),5.115,10.0,10.0,0.0
25,BDS-3,B1,B1C-Dl,1575.42,"TMBOC(6,1,4/33)",1.023,10.0,10.0,0.5
0,GPS,L1,P(Y),1575.42,BPSK(10),10.23,13.5,13.5,1.5
16,GAL,E6,PRS(A),1278.75,"BOCcos(10,5)",5.115,18.0,16.0,0.6
43,SBAS,L5,L5I,1176.45,BPSK(10),10.23,18.0,16.0,0.3
32,QZS-1,L2,L2CM,1227.6,BPSK(1),0.5115,10.0,10.0,0.0
3,GPS,L1,M-D,1575.42,"BOC(10,5)",5.115,18.2,13.5,1.5
15,GAL,E6,CS-P(C),1278.75,BPSK(5),5.115,16.0,15.0,0.6
20,BDS-2,B1-2,RS,1561.098,BPSK(2),2.046,10.0,10.0,0.5
6,GPS,L2,M-D,1227.6,"BOC(10,5)",5.115,16.0,13.5,1.5
27,BDS-3,B3,B3A-Dm,1268.52,"BOC(15,2.5)",2.5575,10.0,10.0,0.5
5,GPS,L2,L2CM,1227.6,BPSK(1),0.5115,10.0,10.0,1.5
42,SBAS,L1,C/A,1575.42,BPSK(1),1.023,13.0,13.5,0.4
21,BDS-2,B3,RS,1268.52,BPSK(10),10.23,16.0,16.0,0.5
4,GPS,L2,P(Y),1227.6,BPSK(10),10.23,10.0,10.0,1.5
33,QZS-1,L2,L2CL,1227.6,BPSK(1),0.5115,10.0,10.0,0.0
2,GPS,L1,L1C-D,1575.42,"TMBOC(6,1,4/33)",1.023,10.0,10.0,1.5
28,QZS-1,L1,C/A,1575.42,BPSK(1),1.023,10.0,10.0,0.5
37,QZS-1,L6,L62o,1278.75,BPSK(5),5.115,10.0,10.0,0.0
14,GAL,E1,OS-D(B),1575.42,"CBOC(6,1,1/11)",1.023,10.0,10.0,0.6
29,QZS-1,L1,L1C-D,1575.42,"BOC(1,1)",1.023,10.0,10.0,0.0
19,BDS-2,B1-2,OS,1561.098,BPSK(2),2.046,10.0,10.0,0.6
35,QZS-1,L6,L61(LEX)n,1278.75,BPSK(5),5.115,10.0,10.0,0.0
9,GLO,L2,L2SF(P),1245.1,BPSK(5),5.11,10.0,10.0,0.6
40,IRNSS,L5,SPS,1176.45,BPSK(1),1.023,16.0,14.0,0.0
39,QZS-1,L5,L5Q,1176.45,BPSK(10),10.23,16.0,16.0,0.0
8,GLO,L1,L1SF(P),1602.0,BPSK(5),5.11,10.0,10.0,0.6
10,GLO,L2,L2OF(C/A),1245.1,BPSK(0.5),0.511,10.0,10.0,0.6
13,GLO,L2,L2OC-P,1248.3,"BOC(1,1)",0.5115,5.0,5.0,0.6
11,GLO,L3,L3OC-D,1202.025,BPSK(10),10.23,10.0,10.0,0.6
1,GPS,L1,C/A,1575.42,BPSK(1),1.023,16.5,13.5,1.5
23,BDS-2,B2b,RS,1207.14,BPSK(10),10.23,18.0,18.0,0.5
12,GLO,L2,L2OC-D,1248.3,BPSK(1),1.023,13.0,12.0,0.6
17,GAL,E5ab,PRS(A),1191.795,"AltBOC(15,10)",5.115,10.0,10.0,0.6
31,QZS-1,L1,SAIF,1575.42,BPSK(1),1.023,10.0,10.0,0.0
26,BDS-3,B3,B3C-Dm,1268.52,BPSK(10),10.23,15.0,13.5,0.5
22,BDS-2,B2b,OS,1207.14,BPSK(2),2.046,14.0,12.0,0.5
24,BDS-3,B1-2,OS,1561.098,BPSK(2),2.046,10.0,10.0,0.5
